year,indicator_id,indicator_name,metric,value,last_updated
2025,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
2024,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,8.43486410496723,2026-04-08
2023,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,5.86571931748967,2026-04-08
2022,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,13.7436797398232,2026-04-08
2021,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,6.69445891957612,2026-04-08
2020,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,3.38219796948068,2026-04-08
2019,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,4.47202631837903,2026-04-08
2018,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,2.87831382614981,2026-04-08
2017,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,3.68333072334495,2026-04-08
2016,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,7.04243725413707,2026-04-08
2015,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,15.5343959935701,2026-04-08
2014,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,7.82016970013845,2026-04-08
2013,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,6.75466833903486,2026-04-08
2012,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,5.07474300799149,2026-04-08
2011,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,8.4404648593257,2026-04-08
2010,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,6.84939230255025,2026-04-08
2009,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,11.6473295764118,2026-04-08
2008,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,14.1107677840442,2026-04-08
2007,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,9.00729868861079,2026-04-08
2006,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,9.66865454789265,2026-04-08
2005,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,12.6853039507349,2026-04-08
2004,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,10.8886157326216,2026-04-08
2003,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,13.6632930228666,2026-04-08
2002,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,15.7887307914463,2026-04-08
2001,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,21.4770072117159,2026-04-08
2000,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,20.7987606558704,2026-04-08
1999,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,85.7464940960636,2026-04-08
